"school","pdf"
"Stowe","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Stowe_610192.pdf"
"Suder","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Suder_610405.pdf"
"Sumner","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Sumner_610194.pdf"
"Swift","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_swift_610196.pdf"
"Talcott","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Talcott_610197.pdf"
"Tanner","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Tanner_610279.pdf"
"Taylor","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Taylor_610198.pdf"
"Thomas","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Thomas_610504.pdf"
"Tonti","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Tonti_610203.pdf"
"Vick","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Vick_609871.pdf"
"VonLinne","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_VonLinne_610039.pdf"
"Wadsworth","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Wadsworth_610213.pdf"
"Washington","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Washington_610124.pdf"
"Washington, G","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_WashingtonG_610219.pdf"
"Webster","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Webster_610221.pdf"
"Wells","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Wells_610110.pdf"
"Wentworth","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Wentworth_610223.pdf"
"Westcott","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Westcott_610300.pdf"
"Whitney","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Whitney_610227.pdf"
"Whittier","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_whittier_610228.pdf"
"Woodlawn","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Woodlawn_609977.pdf"
"Young","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Young_610235.pdf"
"Zapata","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Zapata_609973.pdf"
